"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2009","European Union - 28 countries","Percentage of EU28 total per capita (based on million euro), current prices","Gross domestic product at market prices","100.0",""
"2009","European Union - 28 countries","Percentage of EU28 total per capita (based on million euro), current prices","Final consumption expenditure","100.0",""
"2009","European Union - 28 countries","Percentage of EU28 total per capita (based on million euro), current prices","Final consumption expenditure of general government","100.0",""
"2009","European Union - 28 countries","Percentage of EU28 total per capita (based on million euro), current prices","Individual consumption expenditure of general government","100.0",""
"2009","European Union - 28 countries","Percentage of EU28 total per capita (based on million euro), current prices","Collective consumption expenditure of general government","100.0",""
"2009","European Union - 28 countries","Percentage of EU27 (from 2019) total per capita (based on million euro, EU27 from 2019), current prices","Gross domestic product at market prices","102.0",""
"2009","European Union - 28 countries","Percentage of EU27 (from 2019) total per capita (based on million euro, EU27 from 2019), current prices","Final consumption expenditure","103.6",""
"2009","European Union - 28 countries","Percentage of EU27 (from 2019) total per capita (based on million euro, EU27 from 2019), current prices","Final consumption expenditure of general government","102.1",""
"2009","European Union - 28 countries","Percentage of EU27 (from 2019) total per capita (based on million euro, EU27 from 2019), current prices","Individual consumption expenditure of general government","102.3",""
"2009","European Union - 28 countries","Percentage of EU27 (from 2019) total per capita (based on million euro, EU27 from 2019), current prices","Collective consumption expenditure of general government","101.8",""
"2009","European Union - 28 countries","Percentage of EU28 total per capita (based on million purchasing power standards), current prices","Gross domestic product at market prices","100.0",""
"2009","European Union - 28 countries","Percentage of EU28 total per capita (based on million purchasing power standards), current prices","Final consumption expenditure","100.0",""
"2009","European Union - 28 countries","Percentage of EU28 total per capita (based on million purchasing power standards), current prices","Final consumption expenditure of general government","100.0",""
"2009","European Union - 28 countries","Percentage of EU28 total per capita (based on million purchasing power standards), current prices","Individual consumption expenditure of general government","100.0",""
"2009","European Union - 28 countries","Percentage of EU28 total per capita (based on million purchasing power standards), current prices","Collective consumption expenditure of general government","100.0",""
"2009","European Union - 28 countries","Percentage of EU27 (from 2019) total per capita (based on million purchasing power standards, EU27 from 2019), current prices","Gross domestic product at market prices","101.2",""
"2009","European Union - 28 countries","Percentage of EU27 (from 2019) total per capita (based on million purchasing power standards, EU27 from 2019), current prices","Final consumption expenditure","102.9",""
"2009","European Union - 28 countries","Percentage of EU27 (from 2019) total per capita (based on million purchasing power standards, EU27 from 2019), current prices","Final consumption expenditure of general government","101.3",""
"2009","European Union - 28 countries","Percentage of EU27 (from 2019) total per capita (based on million purchasing power standards, EU27 from 2019), current prices","Individual consumption expenditure of general government","101.5",""
"2009","European Union - 28 countries","Percentage of EU27 (from 2019) total per capita (based on million purchasing power standards, EU27 from 2019), current prices","Collective consumption expenditure of general government","101.0",""
"2009","European Union - 28 countries","Current prices, euro per capita","Gross domestic product at market prices","24,530",""
"2009","European Union - 28 countries","Current prices, euro per capita","Final consumption expenditure","19,380",""
"2009","European Union - 28 countries","Current prices, euro per capita","Final consumption expenditure of general government","5,370",""
"2009","European Union - 28 countries","Current prices, euro per capita","Individual consumption expenditure of general government","3,310",""
"2009","European Union - 28 countries","Current prices, euro per capita","Collective consumption expenditure of general government","2,060",""
"2009","European Union - 27 countries (from 2019)","Percentage of EU28 total per capita (based on million euro), current prices","Gross domestic product at market prices","98.1",""
"2009","European Union - 27 countries (from 2019)","Percentage of EU28 total per capita (based on million euro), current prices","Final consumption expenditure","96.5",""
"2009","European Union - 27 countries (from 2019)","Percentage of EU28 total per capita (based on million euro), current prices","Final consumption expenditure of general government","98.0",""
"2009","European Union - 27 countries (from 2019)","Percentage of EU28 total per capita (based on million euro), current prices","Individual consumption expenditure of general government","97.8",""
"2009","European Union - 27 countries (from 2019)","Percentage of EU28 total per capita (based on million euro), current prices","Collective consumption expenditure of general government","98.3",""
"2009","European Union - 27 countries (from 2019)","Percentage of EU27 (from 2019) total per capita (based on million euro, EU27 from 2019), current prices","Gross domestic product at market prices","100.0",""
"2009","European Union - 27 countries (from 2019)","Percentage of EU27 (from 2019) total per capita (based on million euro, EU27 from 2019), current prices","Final consumption expenditure","100.0",""
"2009","European Union - 27 countries (from 2019)","Percentage of EU27 (from 2019) total per capita (based on million euro, EU27 from 2019), current prices","Final consumption expenditure of general government","100.0",""
"2009","European Union - 27 countries (from 2019)","Percentage of EU27 (from 2019) total per capita (based on million euro, EU27 from 2019), current prices","Individual consumption expenditure of general government","100.0",""
"2009","European Union - 27 countries (from 2019)","Percentage of EU27 (from 2019) total per capita (based on million euro, EU27 from 2019), current prices","Collective consumption expenditure of general government","100.0",""
"2009","European Union - 27 countries (from 2019)","Percentage of EU28 total per capita (based on million purchasing power standards), current prices","Gross domestic product at market prices","98.8",""
"2009","European Union - 27 countries (from 2019)","Percentage of EU28 total per capita (based on million purchasing power standards), current prices","Final consumption expenditure","97.2",""
"2009","European Union - 27 countries (from 2019)","Percentage of EU28 total per capita (based on million purchasing power standards), current prices","Final consumption expenditure of general government","98.7",""
"2009","European Union - 27 countries (from 2019)","Percentage of EU28 total per capita (based on million purchasing power standards), current prices","Individual consumption expenditure of general government","98.5",""
"2009","European Union - 27 countries (from 2019)","Percentage of EU28 total per capita (based on million purchasing power standards), current prices","Collective consumption expenditure of general government","99.0",""
"2009","European Union - 27 countries (from 2019)","Percentage of EU27 (from 2019) total per capita (based on million purchasing power standards, EU27 from 2019), current prices","Gross domestic product at market prices","100.0",""
"2009","European Union - 27 countries (from 2019)","Percentage of EU27 (from 2019) total per capita (based on million purchasing power standards, EU27 from 2019), current prices","Final consumption expenditure","100.0",""
"2009","European Union - 27 countries (from 2019)","Percentage of EU27 (from 2019) total per capita (based on million purchasing power standards, EU27 from 2019), current prices","Final consumption expenditure of general government","100.0",""
"2009","European Union - 27 countries (from 2019)","Percentage of EU27 (from 2019) total per capita (based on million purchasing power standards, EU27 from 2019), current prices","Individual consumption expenditure of general government","100.0",""
"2009","European Union - 27 countries (from 2019)","Percentage of EU27 (from 2019) total per capita (based on million purchasing power standards, EU27 from 2019), current prices","Collective consumption expenditure of general government","100.0",""
"2009","European Union - 27 countries (from 2019)","Current prices, euro per capita","Gross domestic product at market prices","24,050",""
"2009","European Union - 27 countries (from 2019)","Current prices, euro per capita","Final consumption expenditure","18,700",""
"2009","European Union - 27 countries (from 2019)","Current prices, euro per capita","Final consumption expenditure of general government","5,260",""
"2009","European Union - 27 countries (from 2019)","Current prices, euro per capita","Individual consumption expenditure of general government","3,230",""
"2009","European Union - 27 countries (from 2019)","Current prices, euro per capita","Collective consumption expenditure of general government","2,030",""
"2009","European Union - 15 countries (1995-2004)","Percentage of EU28 total per capita (based on million euro), current prices","Gross domestic product at market prices","117.1",""
"2009","European Union - 15 countries (1995-2004)","Percentage of EU28 total per capita (based on million euro), current prices","Final consumption expenditure","117.2",""
"2009","European Union - 15 countries (1995-2004)","Percentage of EU28 total per capita (based on million euro), current prices","Final consumption expenditure of general government","118.3",""
"2009","European Union - 15 countries (1995-2004)","Percentage of EU28 total per capita (based on million euro), current prices","Individual consumption expenditure of general government","119.7",""
"2009","European Union - 15 countries (1995-2004)","Percentage of EU28 total per capita (based on million euro), current prices","Collective consumption expenditure of general government","116.0",""
"2009","European Union - 15 countries (1995-2004)","Percentage of EU27 (from 2019) total per capita (based on million euro, EU27 from 2019), current prices","Gross domestic product at market prices","119.4",""
"2009","European Union - 15 countries (1995-2004)","Percentage of EU27 (from 2019) total per capita (based on million euro, EU27 from 2019), current prices","Final consumption expenditure","121.5",""
"2009","European Union - 15 countries (1995-2004)","Percentage of EU27 (from 2019) total per capita (based on million euro, EU27 from 2019), current prices","Final consumption expenditure of general government","120.7",""
"2009","European Union - 15 countries (1995-2004)","Percentage of EU27 (from 2019) total per capita (based on million euro, EU27 from 2019), current prices","Individual consumption expenditure of general government","122.4",""
"2009","European Union - 15 countries (1995-2004)","Percentage of EU27 (from 2019) total per capita (based on million euro, EU27 from 2019), current prices","Collective consumption expenditure of general government","118.1",""
"2009","European Union - 15 countries (1995-2004)","Percentage of EU28 total per capita (based on million purchasing power standards), current prices","Gross domestic product at market prices","110.5",""
"2009","European Union - 15 countries (1995-2004)","Percentage of EU28 total per capita (based on million purchasing power standards), current prices","Final consumption expenditure","110.6",""
"2009","European Union - 15 countries (1995-2004)","Percentage of EU28 total per capita (based on million purchasing power standards), current prices","Final consumption expenditure of general government","111.6",""
"2009","European Union - 15 countries (1995-2004)","Percentage of EU28 total per capita (based on million purchasing power standards), current prices","Individual consumption expenditure of general government","112.9",""
"2009","European Union - 15 countries (1995-2004)","Percentage of EU28 total per capita (based on million purchasing power standards), current prices","Collective consumption expenditure of general government","109.4",""
"2009","European Union - 15 countries (1995-2004)","Percentage of EU27 (from 2019) total per capita (based on million purchasing power standards, EU27 from 2019), current prices","Gross domestic product at market prices","111.8",""
"2009","European Union - 15 countries (1995-2004)","Percentage of EU27 (from 2019) total per capita (based on million purchasing power standards, EU27 from 2019), current prices","Final consumption expenditure","113.8",""
