"TIME","GEO","SEX","WORKTIME","WSTATUS","NACE_R2","UNIT","Value","Flag and Footnotes"
"2009","European Union - 28 countries","Total","Total","Employed persons","Total - all NACE activities","Hour","37.7",""
"2009","European Union - 28 countries","Total","Part-time","Employed persons","Total - all NACE activities","Hour","20.0",""
"2009","European Union - 28 countries","Total","Full-time","Employed persons","Total - all NACE activities","Hour","41.7",""
"2009","European Union - 28 countries","Total","No response","Employed persons","Total - all NACE activities","Hour","32.2","u"
"2009","European Union - 28 countries","Males","Total","Employed persons","Total - all NACE activities","Hour","40.9",""
"2009","European Union - 28 countries","Males","Part-time","Employed persons","Total - all NACE activities","Hour","19.4",""
"2009","European Union - 28 countries","Males","Full-time","Employed persons","Total - all NACE activities","Hour","42.7",""
"2009","European Union - 28 countries","Males","No response","Employed persons","Total - all NACE activities","Hour",":","u"
"2009","European Union - 28 countries","Females","Total","Employed persons","Total - all NACE activities","Hour","33.9",""
"2009","European Union - 28 countries","Females","Part-time","Employed persons","Total - all NACE activities","Hour","20.2",""
"2009","European Union - 28 countries","Females","Full-time","Employed persons","Total - all NACE activities","Hour","40.0",""
"2009","European Union - 28 countries","Females","No response","Employed persons","Total - all NACE activities","Hour",":","u"
"2009","European Union - 15 countries (1995-2004)","Total","Total","Employed persons","Total - all NACE activities","Hour","36.9",""
"2009","European Union - 15 countries (1995-2004)","Total","Part-time","Employed persons","Total - all NACE activities","Hour","19.8",""
"2009","European Union - 15 countries (1995-2004)","Total","Full-time","Employed persons","Total - all NACE activities","Hour","41.6",""
"2009","European Union - 15 countries (1995-2004)","Total","No response","Employed persons","Total - all NACE activities","Hour","31.8","u"
"2009","European Union - 15 countries (1995-2004)","Males","Total","Employed persons","Total - all NACE activities","Hour","40.6",""
"2009","European Union - 15 countries (1995-2004)","Males","Part-time","Employed persons","Total - all NACE activities","Hour","19.0",""
"2009","European Union - 15 countries (1995-2004)","Males","Full-time","Employed persons","Total - all NACE activities","Hour","42.7",""
"2009","European Union - 15 countries (1995-2004)","Males","No response","Employed persons","Total - all NACE activities","Hour",":","u"
"2009","European Union - 15 countries (1995-2004)","Females","Total","Employed persons","Total - all NACE activities","Hour","32.6",""
"2009","European Union - 15 countries (1995-2004)","Females","Part-time","Employed persons","Total - all NACE activities","Hour","20.1",""
"2009","European Union - 15 countries (1995-2004)","Females","Full-time","Employed persons","Total - all NACE activities","Hour","39.8",""
"2009","European Union - 15 countries (1995-2004)","Females","No response","Employed persons","Total - all NACE activities","Hour",":","u"
"2009","Euro area (19 countries)","Total","Total","Employed persons","Total - all NACE activities","Hour","37.2",""
"2009","Euro area (19 countries)","Total","Part-time","Employed persons","Total - all NACE activities","Hour","20.0",""
"2009","Euro area (19 countries)","Total","Full-time","Employed persons","Total - all NACE activities","Hour","41.5",""
"2009","Euro area (19 countries)","Total","No response","Employed persons","Total - all NACE activities","Hour",":","u"
"2009","Euro area (19 countries)","Males","Total","Employed persons","Total - all NACE activities","Hour","40.6",""
"2009","Euro area (19 countries)","Males","Part-time","Employed persons","Total - all NACE activities","Hour","19.3",""
"2009","Euro area (19 countries)","Males","Full-time","Employed persons","Total - all NACE activities","Hour","42.4",""
"2009","Euro area (19 countries)","Males","No response","Employed persons","Total - all NACE activities","Hour",":","u"
"2009","Euro area (19 countries)","Females","Total","Employed persons","Total - all NACE activities","Hour","33.1",""
"2009","Euro area (19 countries)","Females","Part-time","Employed persons","Total - all NACE activities","Hour","20.1",""
"2009","Euro area (19 countries)","Females","Full-time","Employed persons","Total - all NACE activities","Hour","39.8",""
"2009","Euro area (19 countries)","Females","No response","Employed persons","Total - all NACE activities","Hour",":","u"
"2009","Belgium","Total","Total","Employed persons","Total - all NACE activities","Hour","36.8",""
"2009","Belgium","Total","Part-time","Employed persons","Total - all NACE activities","Hour","23.8",""
"2009","Belgium","Total","Full-time","Employed persons","Total - all NACE activities","Hour","41.0",""
"2009","Belgium","Total","No response","Employed persons","Total - all NACE activities","Hour",":",""
"2009","Belgium","Males","Total","Employed persons","Total - all NACE activities","Hour","40.2",""
"2009","Belgium","Males","Part-time","Employed persons","Total - all NACE activities","Hour","24.1",""
"2009","Belgium","Males","Full-time","Employed persons","Total - all NACE activities","Hour","41.8",""
"2009","Belgium","Males","No response","Employed persons","Total - all NACE activities","Hour",":",""
"2009","Belgium","Females","Total","Employed persons","Total - all NACE activities","Hour","32.8",""
"2009","Belgium","Females","Part-time","Employed persons","Total - all NACE activities","Hour","23.7",""
