"TIME","GEO","SEX","WORKTIME","WSTATUS","NACE_R2","UNIT","Value","Flag and Footnotes"
"2009","European Union - 28 countries","Total","Total","Employed persons","Total - all NACE activities","Hour","37.7",""
"2009","European Union - 28 countries","Total","Total","Employed persons","Agriculture, forestry and fishing","Hour","41.8",""
"2009","European Union - 28 countries","Total","Total","Employed persons","Mining and quarrying","Hour","41.6",""
"2009","European Union - 28 countries","Total","Total","Employed persons","Manufacturing","Hour","39.6",""
"2009","European Union - 28 countries","Total","Total","Employed persons","Electricity, gas, steam and air conditioning supply","Hour","39.5",""
"2009","European Union - 28 countries","Total","Total","Employed persons","Water supply; sewerage, waste management and remediation activities","Hour","39.2",""
"2009","European Union - 28 countries","Total","Total","Employed persons","Construction","Hour","41.4",""
"2009","European Union - 28 countries","Total","Total","Employed persons","Wholesale and retail trade; repair of motor vehicles and motorcycles","Hour","37.7",""
"2009","European Union - 28 countries","Total","Total","Employed persons","Transportation and storage","Hour","40.3",""
"2009","European Union - 28 countries","Total","Total","Employed persons","Accommodation and food service activities","Hour","37.7",""
"2009","European Union - 28 countries","Total","Total","Employed persons","Information and communication","Hour","38.9",""
"2009","European Union - 28 countries","Total","Total","Employed persons","Financial and insurance activities","Hour","38.7",""
"2009","European Union - 28 countries","Total","Total","Employed persons","Real estate activities","Hour","36.8",""
"2009","European Union - 28 countries","Total","Total","Employed persons","Professional, scientific and technical activities","Hour","38.8",""
"2009","European Union - 28 countries","Total","Total","Employed persons","Administrative and support service activities","Hour","34.7",""
"2009","European Union - 28 countries","Total","Total","Employed persons","Public administration and defence; compulsory social security","Hour","37.6",""
"2009","European Union - 28 countries","Total","Part-time","Employed persons","Total - all NACE activities","Hour","20.0",""
"2009","European Union - 28 countries","Total","Part-time","Employed persons","Agriculture, forestry and fishing","Hour","20.6",""
"2009","European Union - 28 countries","Total","Part-time","Employed persons","Mining and quarrying","Hour","21.8",""
"2009","European Union - 28 countries","Total","Part-time","Employed persons","Manufacturing","Hour","21.2",""
"2009","European Union - 28 countries","Total","Part-time","Employed persons","Electricity, gas, steam and air conditioning supply","Hour","24.0",""
"2009","European Union - 28 countries","Total","Part-time","Employed persons","Water supply; sewerage, waste management and remediation activities","Hour","21.5",""
"2009","European Union - 28 countries","Total","Part-time","Employed persons","Construction","Hour","20.0",""
"2009","European Union - 28 countries","Total","Part-time","Employed persons","Wholesale and retail trade; repair of motor vehicles and motorcycles","Hour","19.4",""
"2009","European Union - 28 countries","Total","Part-time","Employed persons","Transportation and storage","Hour","20.4",""
"2009","European Union - 28 countries","Total","Part-time","Employed persons","Accommodation and food service activities","Hour","17.9",""
"2009","European Union - 28 countries","Total","Part-time","Employed persons","Information and communication","Hour","18.8",""
"2009","European Union - 28 countries","Total","Part-time","Employed persons","Financial and insurance activities","Hour","22.2",""
"2009","European Union - 28 countries","Total","Part-time","Employed persons","Real estate activities","Hour","18.6",""
"2009","European Union - 28 countries","Total","Part-time","Employed persons","Professional, scientific and technical activities","Hour","20.0",""
"2009","European Union - 28 countries","Total","Part-time","Employed persons","Administrative and support service activities","Hour","18.6",""
"2009","European Union - 28 countries","Total","Part-time","Employed persons","Public administration and defence; compulsory social security","Hour","23.1",""
"2009","European Union - 28 countries","Total","Full-time","Employed persons","Total - all NACE activities","Hour","41.7",""
"2009","European Union - 28 countries","Total","Full-time","Employed persons","Agriculture, forestry and fishing","Hour","46.7",""
"2009","European Union - 28 countries","Total","Full-time","Employed persons","Mining and quarrying","Hour","42.1",""
"2009","European Union - 28 countries","Total","Full-time","Employed persons","Manufacturing","Hour","41.0",""
"2009","European Union - 28 countries","Total","Full-time","Employed persons","Electricity, gas, steam and air conditioning supply","Hour","40.3",""
"2009","European Union - 28 countries","Total","Full-time","Employed persons","Water supply; sewerage, waste management and remediation activities","Hour","40.4",""
"2009","European Union - 28 countries","Total","Full-time","Employed persons","Construction","Hour","42.7",""
"2009","European Union - 28 countries","Total","Full-time","Employed persons","Wholesale and retail trade; repair of motor vehicles and motorcycles","Hour","42.7",""
"2009","European Union - 28 countries","Total","Full-time","Employed persons","Transportation and storage","Hour","42.8",""
"2009","European Union - 28 countries","Total","Full-time","Employed persons","Accommodation and food service activities","Hour","45.7",""
"2009","European Union - 28 countries","Total","Full-time","Employed persons","Information and communication","Hour","42.0",""
"2009","European Union - 28 countries","Total","Full-time","Employed persons","Financial and insurance activities","Hour","41.2",""
"2009","European Union - 28 countries","Total","Full-time","Employed persons","Real estate activities","Hour","41.9",""
"2009","European Union - 28 countries","Total","Full-time","Employed persons","Professional, scientific and technical activities","Hour","42.9",""
"2009","European Union - 28 countries","Total","Full-time","Employed persons","Administrative and support service activities","Hour","41.4",""
"2009","European Union - 28 countries","Total","Full-time","Employed persons","Public administration and defence; compulsory social security","Hour","39.7",""
"2009","European Union - 28 countries","Total","No response","Employed persons","Total - all NACE activities","Hour","32.2","u"
"2009","European Union - 28 countries","Total","No response","Employed persons","Agriculture, forestry and fishing","Hour",":","u"
"2009","European Union - 28 countries","Total","No response","Employed persons","Mining and quarrying","Hour",":",""
"2009","European Union - 28 countries","Total","No response","Employed persons","Manufacturing","Hour",":","u"
"2009","European Union - 28 countries","Total","No response","Employed persons","Electricity, gas, steam and air conditioning supply","Hour",":",""
"2009","European Union - 28 countries","Total","No response","Employed persons","Water supply; sewerage, waste management and remediation activities","Hour",":",""
"2009","European Union - 28 countries","Total","No response","Employed persons","Construction","Hour",":","u"
"2009","European Union - 28 countries","Total","No response","Employed persons","Wholesale and retail trade; repair of motor vehicles and motorcycles","Hour",":","u"
"2009","European Union - 28 countries","Total","No response","Employed persons","Transportation and storage","Hour",":","u"
"2009","European Union - 28 countries","Total","No response","Employed persons","Accommodation and food service activities","Hour",":","u"
"2009","European Union - 28 countries","Total","No response","Employed persons","Information and communication","Hour",":","c"
"2009","European Union - 28 countries","Total","No response","Employed persons","Financial and insurance activities","Hour",":",""
